最新价,涨跌幅,成交量,成交额,最高,最低,今开,指数代码,指数名称,category
476.11,-0.36,52091192.0,87875904852.0,481.87,475.82,478.13,000832,中证转债,上证系列指数
5891.39,-0.38,6276835.0,20347994157.0,5958.51,5849.81,5941.9,000112,380电信,上证系列指数
4442.75,-0.4,111658054.0,113922846596.0,4534.66,4442.75,4466.3,000029,180价值,上证系列指数
1000.33,-0.41,11220247.0,53124654935.0,1001.82,973.83,998.27,000695,科长三角,上证系列指数
1286.09,-0.41,4802897.0,3362107168.0,1299.63,1283.96,1289.44,000104,380能源,上证系列指数
4435.09,-0.42,13562431.0,12818105683.0,4493.18,4424.91,4466.26,000110,380金融,上证系列指数
2125.27,-0.42,38852886.0,79277996050.0,2142.88,2116.89,2134.61,000062,上证沪企,上证系列指数
5245.75,-0.5,168066323.0,184045645259.0,5336.16,5245.68,5266.6,000919,300价值,上证系列指数
2865.51,-0.51,59420268.0,49332629950.0,2906.13,2861.55,2874.52,000152,上央红利,上证系列指数
9822.66,-0.54,41175923.0,169666333207.0,9904.53,9691.64,9875.69,000858,500信息,上证系列指数
18991.42,-0.55,46340844.0,74165915728.0,19135.74,18915.98,19109.87,000851,百发100,上证系列指数
2585.82,-0.57,17017813.0,14491448306.0,2622.11,2581.33,2596.98,000070,能源等权,上证系列指数
1501.35,-0.59,32070774.0,53778187691.0,1522.03,1499.84,1516.73,000865,上海国企,上证系列指数
3778.61,-0.69,33175105.0,95399219815.0,3806.59,3758.35,3802.06,000162,沪互联+,上证系列指数
3060.59,-0.69,56201636.0,46024590065.0,3103.24,3060.59,3076.2,000015,红利指数,上证系列指数
8211.51,-0.74,107169792.0,437308249448.8,8236.5,8060.04,8204.95,000993,全指信息,上证系列指数
1728.08,-0.79,6889834.0,85895826746.0,1733.36,1683.34,1712.81,000690,科创成长,上证系列指数
3955.23,-0.8,10006887.0,8489847285.2,4027.76,3952.82,3991.96,000869,HK银行,上证系列指数
6199.56,-0.8,91341031.0,396317944423.9,6218.85,6081.7,6188.43,000935,中证信息,上证系列指数
6686.18,-0.81,87116701.0,102674911631.0,6806.75,6686.18,6725.42,000821,300红利,上证系列指数
